date,Qw,Qs
186,680.0847887324,12.4584480468
187,703.505915493,12.7771884135
188,732.8115492958,13.2618017539
189,769.6143661972,14.016407122
190,824.3861971831,15.6742811587
191,880.6016901408,17.5126441669
192,939.4157746479,19.6273505182
193,1005.058028169,22.3959553548
194,1068.7143661972,25.1328620781
195,1131.9326760563,28.0824661175
196,1202.3369014085,30.6813553016
197,1273.9016901409,32.8763167685
198,1346.8777464789,34.8267499336
199,1406.5383098592,36.1499335636
200,1464.4495774648,37.4302790327
201,1530.2622535211,38.9491256976
202,1598.4171830986,40.5319638586
203,1651.7636619718,41.7376136062
204,1691.6861971831,42.4811745947
205,1723.5721126761,43.0108211533
206,1750.5791549296,43.3966037736
207,1777.2101408451,43.7457294712
208,1806.943943662,44.1448153069
209,1836.9777464789,44.5439330322
210,1863.7129577465,44.8782195057
211,1888.5115492958,45.1960350784
212,1912.351971831,45.4638958278
213,1935.7857746479,45.7455806537
214,1958.6804225352,46.0315227212
215,1981.914084507,46.2908902471
216,2006.9845070423,46.5736433697
217,2031.3507042254,46.8521445655
218,2052.4774647887,47.0418867925
219,2071.9646478873,47.2013287271
220,2090.594084507,47.3527982992
221,2108.9653521127,47.5154344938
222,2125.6507042254,47.6456497475
223,2141.4835211268,47.764172203
224,2159.5785915493,47.9549774116
225,2178.5216901409,48.1404677119
226,2194.5056338028,48.2696199841
227,2208.2816901409,48.3660164762
228,2217.3521126761,48.4320861015
229,2224.6478873239,48.4958809461
230,2224.8450704225,48.4948179644
231,2202.6197183099,48.007653468
232,2168.4507042254,47.3216051023
233,2139.9014084507,46.7703428116
234,2121.5070422535,46.4500132873
235,2107.6056338028,46.2386393835
236,2097.1126760563,46.0838692533
237,2086.1971830986,45.9335104969
238,2070.1690140845,45.6901939942
239,2048.9577464789,45.3387191071
240,2035.1971830986,45.1261227744
241,2020.5492957747,44.8916821685
242,1999.2394366197,44.4417751794
243,1968.8309859155,43.5796439011
244,1933.2957746479,42.6098591549
245,1906.2394366197,41.9747648153
246,1880.0112676056,41.3814243954
247,1850.685915493,40.7136380547
248,1828.1788732394,40.2271538666
249,1810.4746478873,39.8294871113
250,1793.7281690141,39.3562157853
251,1776.1647887324,38.7955195323
252,1758.4605633803,38.2561626362
253,1738.7,37.7534254584
254,1716.1647887324,37.2090831783
255,1695.8267605634,36.8183948977
256,1678.7,36.540175392
257,1662.5873239437,36.2926601116
258,1646.1929577465,35.9901886792
259,1625.7985915493,35.5298644698
260,1598.6577464789,34.8083656657
261,1554.5169014085,33.1991177252
262,1509.5591549296,31.4234068562
263,1463.0098591549,29.3808875897
264,1407.8830985916,26.6585915493
265,1355.1366197183,23.9610629817
266,1305.9816901409,21.0563592878
267,1250.9112676056,18.5429391443
268,1193.1647887324,16.400233856
269,1133.8690140845,14.5013234122
270,1085.9957746479,13.2523199575
271,1036.5028169014,11.9918894499
272,981.2492957746,10.4957959075
273,920.8408450704,8.9302896625
274,874.0943661972,7.7455965985
275,842.1225352113,7.0258517141
276,817.8408450704,6.5135477013
277,798.1788732394,6.1442678714
278,780.3056338028,5.8151155993
279,755.5028169014,5.4242572416
280,731.6436619718,5.034089822
281,709.7985915493,4.707595004
282,690.6577464789,4.3976827
283,673.7,4.1383683231
284,656.9957746479,3.8645973957
285,640.9253521127,3.5864150943
286,624.1366197183,3.3336380547
287,603.9957746479,3.0549242626
288,584.9535211268,2.7807706617
289,569.0661971831,2.5952591018
290,554.6154929577,2.4398192931
291,540.9535211268,2.2924953495
292,527.5873239437,2.1343980866
293,515.8408450704,2.0084294446
294,504.3197183099,1.8928461334
295,490.0098591549,1.7044113739
296,474.2070422535,1.5208610151
297,461.0943661972,1.3933191602
298,449.3478873239,1.2970236513
299,439.5450704225,1.2288652671
300,431.1647887324,1.1624023386
301,425.685915493,1.1084719639
302,423.5732394366,1.0861280893
303,422.3056338028,1.071942599
304,421.5169014085,1.0611639649
305,420.6436619718,1.0530480999
306,418.1507042254,1.0409407388
307,414.7704225352,1.0295880946
308,411.7845070423,1.0195907521
309,409.685915493,1.0115067765
310,407.7563380282,1.0029391443
311,406.9535211268,0.9969970768
312,406.1084507042,0.9914483125
313,405.7422535211,0.9872707946
314,405.8126760563,0.9846718044
315,406.5309859155,0.983188945
316,407.7281690141,0.9821365931
317,409.561971831,0.9821100186
318,411.7746478873,0.9823385597
319,413.3802816901,0.9803879883
320,413.8028169014,0.9786393835
321,414.2816901408,0.9775817167
322,415.1830985915,0.9763805474
323,415.4084507042,0.9748285942
324,415.2253521127,0.9731862875
325,414.4084507042,0.9708743024
326,413.4929577465,0.9688812118
327,412.2957746479,0.9664895031
328,409.8746478873,0.961562583
